14,12,1,2,8,17,7,0,9,18,4,19,15,3,13,10,11,6,16,5
13,12,11,0,15,10,5,4,16,17,7,18,19,2,8,1,6,3,14,9
17,12,19,8,11,1,5,0,16,3,15,6,13,10,9,2,18,14,4,7
18,6,7,19,13,0,4,10,9,17,16,14,2,8,1,5,15,12,3,11
6,0,16,14,3,4,11,2,10,18,15,17,5,9,13,19,1,8,7,12
17,9,11,10,7,3,5,8,16,4,18,13,15,0,19,1,14,12,2,6
7,18,15,10,11,8,9,13,1,14,4,2,17,12,3,5,6,19,0,16
11,10,14,19,8,1,4,5,7,16,12,9,0,2,6,17,18,3,15,13
11,7,3,1,19,10,9,6,4,12,0,15,18,14,5,8,13,16,17,2
3,16,15,13,19,18,11,1,9,2,8,10,4,14,6,17,12,5,7,0
15,9,3,18,8,10,5,14,6,0,16,12,2,19,13,11,7,4,17,1
6,4,19,12,15,17,10,14,3,11,18,8,7,9,2,13,0,1,5,16
19,13,18,1,10,3,9,2,17,14,12,7,16,15,0,6,11,4,5,8
12,18,3,17,11,15,9,6,14,1,4,13,2,0,16,8,19,7,5,10
11,19,18,16,2,12,4,15,1,6,7,5,13,9,17,0,8,3,14,10
2,10,4,14,7,19,18,3,15,11,17,0,6,9,5,1,13,12,16,8
6,10,3,9,13,7,16,19,5,18,4,17,11,15,8,2,1,14,12,0
17,12,7,11,15,13,18,3,0,4,19,9,8,2,16,1,6,10,5,14
10,5,9,2,13,19,1,15,6,16,3,18,17,11,8,12,14,4,0,7
5,2,18,11,10,17,15,1,12,19,14,0,4,3,7,9,6,8,16,13
