2,14,17,12,3,15,4,5,0,6,9,16,1,7,13,19,18,11,10,8
11,17,4,8,16,3,12,15,0,14,6,19,5,2,7,1,10,18,13,9
13,17,15,11,9,10,2,8,18,14,6,19,3,12,7,1,5,0,16,4
15,9,17,13,19,11,12,2,3,18,1,14,4,6,8,16,7,5,0,10
5,7,4,2,17,13,1,15,12,0,6,14,3,19,10,18,9,16,8,11
8,16,6,11,3,17,14,10,19,7,5,18,4,1,12,0,2,13,15,9
2,6,13,12,1,7,5,0,15,10,8,3,9,16,18,19,14,11,17,4
19,15,4,8,17,18,16,6,10,7,2,1,3,5,11,0,12,13,14,9
13,8,18,4,17,3,1,16,10,5,9,19,2,6,11,7,12,14,0,15
9,6,15,13,0,1,12,2,19,14,18,4,3,7,8,16,10,11,17,5
5,19,12,1,7,17,8,2,16,13,4,14,18,15,3,0,9,10,11,6
11,18,10,9,15,6,13,17,1,7,8,5,19,4,2,16,3,14,12,0
15,19,7,13,14,2,12,6,9,16,0,5,3,4,8,18,1,11,17,10
18,4,15,13,10,2,11,16,12,3,5,17,9,0,6,14,8,19,1,7
5,16,10,8,17,18,19,13,15,4,0,14,11,1,9,2,12,6,7,3
1,8,18,0,7,16,4,2,11,19,17,6,5,14,10,9,15,3,12,13
6,11,15,17,3,9,19,13,5,16,12,14,2,0,4,18,7,10,8,1
17,16,19,13,8,10,3,2,12,5,14,7,0,18,1,9,6,15,11,4
13,17,6,7,18,11,16,2,19,8,15,9,14,4,3,0,5,10,12,1
6,19,12,9,1,16,5,17,18,11,4,8,15,14,7,13,2,10,0,3
