12,4,9,8,17,15,10,2,1,5,11,7,16,19,13,18,14,6,0,3
7,10,12,8,17,14,15,18,16,6,0,19,1,5,11,13,4,2,9,3
15,2,18,17,1,19,5,14,3,11,9,13,0,8,4,10,6,7,16,12
10,5,17,9,0,4,3,16,7,14,12,15,8,18,13,19,11,6,1,2
11,10,15,17,13,0,5,12,18,8,2,9,14,3,1,6,7,16,19,4
3,4,6,2,12,9,11,16,5,7,8,19,17,15,1,18,14,13,0,10
11,18,13,16,12,6,8,14,0,15,9,10,19,7,3,4,5,1,2,17
6,9,4,13,19,7,8,16,18,14,11,15,17,5,12,2,0,10,1,3
1,9,3,18,15,14,0,16,6,5,17,13,2,7,4,12,19,8,11,10
13,16,14,15,1,9,17,0,11,2,18,5,3,10,12,6,7,4,19,8
12,6,3,4,7,18,15,8,17,1,9,16,19,0,13,2,5,14,10,11
9,6,13,0,15,10,12,3,7,2,14,17,16,18,11,19,8,4,5,1
7,13,6,8,0,14,1,12,9,4,11,18,5,15,2,17,10,16,19,3
7,12,16,14,13,4,3,9,2,11,17,18,6,10,8,0,15,1,19,5
10,2,19,7,0,4,18,15,3,14,11,1,8,12,5,16,6,13,9,17
13,0,15,8,3,10,9,11,12,2,18,5,1,16,6,19,17,14,4,7
3,17,11,13,19,6,4,16,12,5,8,1,0,2,10,18,9,7,14,15
19,17,1,2,7,6,3,12,4,0,8,14,18,16,15,5,11,9,13,10
1,10,4,15,0,3,7,16,13,18,9,14,2,17,6,19,8,5,11,12
13,11,18,14,17,2,3,15,9,4,5,10,7,12,8,16,6,1,19,0
