6,7,9,10,2,17,13,8,11,0,16,12,15,18,19,3,5,4,14,1
5,14,7,9,16,3,8,6,4,2,12,15,13,17,0,10,18,1,19,11
5,3,18,4,0,2,1,16,9,14,17,8,19,12,7,10,6,13,15,11
14,0,17,8,16,6,13,9,1,4,15,7,18,19,10,12,5,3,11,2
2,7,12,8,1,17,11,19,6,14,3,5,10,0,16,9,13,18,4,15
2,0,12,9,19,7,11,6,14,16,5,13,10,4,15,17,1,18,3,8
5,6,15,8,0,3,18,10,12,16,4,13,19,1,11,9,14,2,7,17
12,8,7,1,9,17,13,19,4,5,6,2,10,18,16,3,0,11,15,14
17,13,18,7,6,16,19,14,2,8,4,3,5,12,15,1,9,10,0,11
12,17,6,13,11,15,18,10,3,0,5,14,1,2,8,16,4,19,9,7
16,5,18,1,15,19,14,11,3,13,4,2,0,8,12,6,7,9,17,10
7,6,0,17,12,14,11,1,18,2,3,19,8,9,15,10,13,16,5,4
6,5,16,19,18,9,3,1,15,0,14,17,8,11,13,10,4,2,7,12
12,17,15,7,1,19,11,13,5,16,8,14,4,0,18,3,2,10,9,6
9,18,12,14,0,17,4,8,16,3,13,7,1,11,10,2,19,15,6,5
5,11,4,14,0,16,15,8,2,13,3,6,18,1,12,7,19,10,9,17
7,10,19,16,14,3,12,18,17,0,2,5,1,8,9,11,13,4,6,15
1,19,16,13,10,2,8,14,0,17,9,15,6,4,18,12,7,11,3,5
9,13,4,12,5,7,16,6,18,3,1,15,17,8,10,0,14,19,11,2
14,17,15,18,2,3,10,1,7,11,5,8,6,0,9,12,13,4,19,16
