2,17,3,19,12,4,0,8,1,6,15,14,7,9,10,5,18,16,13,11
18,19,11,16,8,0,5,10,15,7,17,14,1,3,13,12,4,6,2,9
10,12,15,5,13,11,8,2,0,3,17,14,7,1,6,16,18,19,9,4
4,15,8,0,12,9,19,18,1,14,17,16,7,2,6,10,5,11,13,3
15,9,5,1,16,0,8,18,2,17,3,10,4,6,12,14,11,7,19,13
1,7,5,11,19,8,17,18,14,0,15,12,10,6,9,16,2,4,13,3
18,10,13,12,19,1,2,5,14,17,11,9,15,0,6,8,7,3,4,16
3,13,1,14,12,11,2,9,18,10,0,19,5,16,15,4,8,6,7,17
5,9,0,15,10,12,18,13,19,14,3,4,17,11,16,8,6,7,2,1
14,8,12,16,17,2,7,18,6,11,15,13,4,19,9,5,1,0,10,3
16,6,0,14,13,15,5,12,11,18,1,2,3,8,9,19,17,10,4,7
9,18,4,0,8,13,11,17,5,15,7,10,14,12,3,6,19,16,2,1
9,6,19,12,3,15,7,16,14,18,4,0,17,1,13,10,5,2,8,11
12,4,9,19,2,18,14,6,0,5,7,8,17,16,11,1,10,3,13,15
13,17,19,1,12,8,11,3,16,10,18,15,6,2,0,5,9,4,14,7
16,3,15,11,18,8,13,1,4,12,19,2,14,5,10,6,7,9,17,0
17,2,13,12,16,3,8,0,7,6,18,1,14,10,15,11,5,19,9,4
14,18,12,6,1,8,9,2,17,5,3,7,4,10,13,0,19,11,16,15
4,11,19,6,3,16,10,9,14,13,1,7,5,15,18,12,8,0,2,17
9,7,12,8,0,10,3,6,14,19,17,4,18,5,2,1,13,11,16,15
